"DriveNum","x","y","v","xped","yped","crash","rt","Rtotal"
23,5,-99,4,-2,0,0,3.0239031505206873,5170.849693487973
23,3,-81,3,-2,-3,0,7.993716450096688,5170.849693487973
23,1,-71,2,5,4,0,12.963529749672688,5170.849693487973
23,6,-57,2,-2,3,0,17.933343049248688,5170.849693487973
23,4,-46,1,2,0,0,22.210009168264744,5170.849693487973
23,6,-41,1,-3,-3,0,5170.849693487973,5170.849693487973
24,5,-99,4,2,0,0,3.0239031505206873,2326.3018046370757
24,7,-79,4,2,2,0,6.607422088976797,2326.3018046370757
24,9,-57,4,0,2,0,9.631325239497485,2326.3018046370757
24,9,-35,4,-2,4,0,14.601138539073485,2326.3018046370757
24,7,-11,4,0,3,0,18.87780465808954,2326.3018046370757
24,7,12,4,2,2,0,2326.3018046370757,2326.3018046370757
25,5,-99,4,3,1,0,4.969813299576001,1858.814279583511
25,8,-78,4,-4,5,0,9.939626599152001,1858.814279583511
25,4,-55,3,4,2,0,14.909439898728003,1858.814279583511
25,8,-38,3,-1,-3,0,19.879253198304003,1858.814279583511
25,7,-26,3,-5,2,0,24.849066497880003,1858.814279583511
25,2,-11,2,3,-4,0,29.818879797456002,1858.814279583511
25,5,-7,1,4,-2,0,34.095545916472055,1858.814279583511
25,9,-4,1,-2,3,0,39.06535921604806,1858.814279583511
25,7,4,1,2,-3,0,42.64887815450417,1858.814279583511
25,9,8,2,-4,-5,0,47.61869145408017,1858.814279583511
25,5,15,3,1,1,0,1858.814279583511,1858.814279583511
26,5,-99,4,4,4,0,4.276666119016055,22.76962495620017
26,9,-75,4,-1,0,0,8.55333223803211,22.76962495620017
26,8,-55,4,-2,2,0,13.523145537608112,22.76962495620017
26,6,-33,4,-2,0,0,17.79981165662417,22.76962495620017
26,4,-15,3,-3,-1,0,22.76962495620017,22.76962495620017
26,1,-3,2,-1,4,1,22.76962495620017,22.76962495620017
27,5,-99,4,1,3,0,4.969813299576001,1897.911591559191
27,6,-76,4,-1,-2,0,9.939626599152001,1897.911591559191
27,5,-60,3,3,-2,0,14.909439898728003,1897.911591559191
27,8,-47,3,-4,-1,0,19.879253198304003,1897.911591559191
27,4,-35,2,3,0,0,24.15591931732006,1897.911591559191
27,7,-25,2,2,3,0,27.739438255776168,1897.911591559191
27,9,-12,2,-4,-3,0,32.70925155535217,1897.911591559191
27,5,-7,1,-3,-3,0,1897.911591559191,1897.911591559191
28,5,-99,4,1,0,0,3.0239031505206873,1641.8725835216162
28,6,-79,4,-4,-5,0,7.993716450096688,1641.8725835216162
28,2,-66,3,0,1,0,12.270382569112744,1641.8725835216162
28,2,-52,2,5,1,0,17.240195868688744,1641.8725835216162
28,7,-41,2,0,3,0,21.5168619877048,1641.8725835216162
28,7,-28,2,1,-4,0,26.4866752872808,1641.8725835216162
28,8,-22,2,1,-5,0,29.8470506744227,1641.8725835216162
28,9,-17,2,0,1,0,32.870953824943385,1641.8725835216162
28,9,-6,2,-4,2,0,37.84076712451939,1641.8725835216162
28,5,3,1,1,-5,0,42.81058042409539,1641.8725835216162
28,6,3,1,3,-5,0,46.68178143500328,1641.8725835216162
28,9,3,1,0,-3,0,49.70568458552397,1641.8725835216162
