# trial, step, v, x_car, y_car, x_ped, y_ped, del_x, del_y, reward, v_new, x_car_new, y_car_new, x_ped_new, y_ped_new
1.900000000000000000e+01,1.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,6.948626571012599840e+00,5.200000000000000000e+01,2.330659978252151099e+00,2.000000000000000000e+00,-1.767194837114730799e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,9.279286549264750050e+00,5.400000000000000000e+01
1.900000000000000000e+01,2.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,9.279286549264750050e+00,5.400000000000000000e+01,-3.828671781098903715e+00,-1.382740506886535936e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,6.000000000000000000e+01,5.450614768165846336e+00,5.261725949311346540e+01
2.000000000000000000e+01,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+00,5.000000000000000000e+01,5.410603878068434014e-01,1.911065258261997357e+00,-1.394823162572943254e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,7.041060387806843401e+00,5.191106525826199913e+01
2.000000000000000000e+01,1.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,7.041060387806843401e+00,5.191106525826199913e+01,1.657842547886383855e+00,2.000000000000000000e+00,-1.640711963916301253e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,8.698902935693226368e+00,5.391106525826199913e+01
2.000000000000000000e+01,2.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,8.698902935693226368e+00,5.391106525826199913e+01,-3.884234521281995089e+00,2.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,6.000000000000000000e+01,4.814668414411231723e+00,5.591106525826199913e+01
2.100000000000000000e+01,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+00,5.000000000000000000e+01,3.953746435787177660e-01,5.314605886647223443e-01,-1.179329795194690833e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,6.895374643578717766e+00,5.053146058866472146e+01
2.100000000000000000e+01,1.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,6.895374643578717766e+00,5.053146058866472146e+01,9.737961857424952683e-01,2.435804482139189986e-01,-1.352442895390788768e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,7.869170829321213034e+00,5.077504103687864045e+01
2.100000000000000000e+01,2.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,7.869170829321213034e+00,5.077504103687864045e+01,-3.462090099779464136e+00,2.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,6.000000000000000000e+01,4.407080729541748454e+00,5.277504103687864045e+01
2.200000000000000000e+01,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,0.000000000000000000e+00,6.500000000000000000e+00,5.000000000000000000e+01,9.694533367882431918e-01,2.000000000000000000e+00,-1.500281066600908542e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,7.469453336788243192e+00,5.200000000000000000e+01
2.200000000000000000e+01,1.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,2.000000000000000000e+01,7.469453336788243192e+00,5.200000000000000000e+01,2.024513619751697746e+00,2.000000000000000000e+00,-1.711025894081096066e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,9.493966956539940938e+00,5.400000000000000000e+01
2.200000000000000000e+01,2.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,4.000000000000000000e+01,9.493966956539940938e+00,5.400000000000000000e+01,-4.689754465269943218e+00,-3.129347522028202988e-02,0.000000000000000000e+00,4.000000000000000000e+00,4.500000000000000000e+00,6.000000000000000000e+01,4.804212491269997720e+00,5.396870652477971930e+01
